Country,2011.00,2012.00,2013.00,2014.00,2015.00,2016.00,2017.00,2018.00,2019.00,2020.00
Belgium,242399.00,237921.00,224109.00,208443.00,246853.00,232504.00,223563.00,221955.00,223946.00,155760.00
Bulgaria,47323.00,44462.00,45256.00,41246.00,38315.00,32727.00,40947.00,36922.00,33172.00,27036.00
Czechia,125039.00,120028.00,126223.00,104464.00,85366.00,71224.00,66101.00,59438.00,59850.00,45638.00
Denmark,291387.00,281515.00,269086.00,250773.00,225868.00,225511.00,213924.00,182819.00,170043.00,142042.00
Germany (until 1990 former territory of the FRG),1276065.00,1267576.00,1289071.00,1322144.00,1348955.00,1290481.00,1156422.00,1082478.00,1025321.00,931793.00
Estonia,20175.00,18628.00,16465.00,15738.00,11354.00,8982.00,7633.00,7403.00,6804.00,6863.00
Ireland,76669.00,76113.00,78431.00,77619.00,72716.00,62017.00,66923.00,64470.00,65409.00,48678.00
Greece,70517.00,62447.00,53810.00,50710.00,55151.00,57158.00,92666.00,80351.00,85825.00,60947.00
Spain,155122.00,165297.00,163464.00,155253.00,205751.00,163077.00,162426.00,168203.00,175850.00,104521.00
France,1163793.00,1173885.00,1390001.00,1429398.00,1397363.00,870360.00,874768.00,859978.00,878413.00,680196.00
Croatia,15929.00,17248.00,14051.00,12043.00,13547.00,12739.00,12413.00,11481.00,11115.00,9833.00
Italy,1038883.00,1066669.00,1303355.00,1317327.00,1229103.00,1132814.00,1069965.00,1001327.00,906552.00,612230.00
Cyprus,1697.00,1567.00,1272.00,990.00,943.00,731.00,959.00,716.00,642.00,513.00
Latvia,0.00,21341.00,20623.00,20578.00,19387.00,14570.00,14534.00,14047.00,13111.00,12799.00
Lithuania,27299.00,23478.00,27952.00,27895.00,22783.00,19963.00,17040.00,12833.00,10902.00,9447.00
Luxembourg,8775.00,9243.00,10334.00,10259.00,9193.00,9954.00,10090.00,10312.00,9925.00,9258.00
Hungary,157234.00,159047.00,124276.00,106939.00,111326.00,93592.00,80335.00,64190.00,56967.00,50441.00
Malta,8520.00,8690.00,8469.00,8198.00,8653.00,8821.00,8255.00,6528.00,6631.00,4578.00
Netherlands,392910.00,392775.00,391945.00,365370.00,335120.00,304055.00,259095.00,233985.00,233485.00,204555.00
Austria,144326.00,146520.00,154002.00,148263.00,140254.00,143531.00,131717.00,118802.00,115423.00,84734.00
Poland,230247.00,230751.00,212143.00,168567.00,145212.00,126392.00,106923.00,98833.00,102585.00,98519.00
Portugal,98398.00,102271.00,94902.00,91041.00,98434.00,89305.00,88541.00,87569.00,82120.00,65159.00
Romania,47322.00,56732.00,57557.00,164396.00,108439.00,92099.00,96154.00,100407.00,95945.00,87818.00
Slovenia,30677.00,33905.00,34942.00,30103.00,22798.00,21394.00,20539.00,19613.00,16731.00,16055.00
Slovakia,37613.00,34730.00,20708.00,18568.00,24091.00,15870.00,20295.00,17232.00,14796.00,14003.00
Finland,139868.00,126244.00,137219.00,137465.00,132978.00,126734.00,121178.00,118193.00,122731.00,134831.00
Sweden,415029.00,408420.00,410762.00,399432.00,399646.00,375396.00,360113.00,334286.00,329054.00,311038.00
Iceland,4203.00,4147.00,4102.00,3670.00,4032.00,3472.00,3822.00,3285.00,3476.00,3503.00
Liechtenstein,184.00,197.00,233.00,214.00,193.00,196.00,149.00,162.00,178.00,133.00
Norway,148128.00,155365.00,145940.00,132018.00,114828.00,104507.00,94179.00,92320.00,94544.00,86519.00
Switzerland,203381.00,215178.00,197389.00,174601.00,157911.00,146359.00,141504.00,136011.00,136914.00,125475.00
England and Wales,1481675.00,1361329.00,1326649.00,1339640.00,1357563.00,1467499.00,1573004.00,1593128.00,0.00,0.00
Scotland,108956.00,94551.00,101870.00,95021.00,86748.00,84867.00,86543.00,86569.00,0.00,0.00
Northern Ireland (UK),24480.00,23824.00,27289.00,26831.00,25707.00,24041.00,23407.00,24178.00,0.00,0.00
Montenegro,673.00,857.00,739.00,892.00,827.00,506.00,503.00,440.00,413.00,320.00
North Macedonia,5552.00,6034.00,5530.00,4983.00,0.00,0.00,0.00,0.00,0.00,0.00
Albania,4621.00,5344.00,5255.00,7961.00,7012.00,5641.00,5096.00,5414.00,4833.00,4400.00
Serbia,17529.00,17900.00,30882.00,26754.00,24483.00,22431.00,20752.00,18992.00,18248.00,15420.00
T?kiye,209866.00,239926.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bosnia and Herzegovina,6737.00,6675.00,6477.00,5931.00,4874.00,4491.00,4143.00,3561.00,3718.00,3669.00
Kosovo (under United Nations Security Council Resolution 1244/99),17141.00,16292.00,16962.00,8228.00,12295.00,12593.00,5569.00,5569.00,4835.00,4224.00
