,Violence,Homicides,Robberies,Domestic burglaries,Motor vehicle thefts
Belgium,0.8986427592129745,-0.034815217440250866,0.28528127081635146,0.47038015513739173,-0.2223493344749776
Bulgaria,-0.6788956304256054,-0.2780059585228918,-0.5311103112783888,-0.571795450996801,-0.5876943500657952
Czech Republic,-0.5157020039112695,-0.5508541070546352,-0.5204567827752229,-0.6875927405672667,-0.3536110167231756
Denmark,-0.42782851271124256,-0.7881133666474556,-0.21429775938851028,-0.1363324043022322,-0.303294038528033
Germany,1.94057129772758,2.314051452528671,0.9550569149132537,1.5044010225694386,0.9458796375339836
Estonia,-0.6872645343494174,-0.6813466998306864,-0.6122460253055486,-0.8017590823973035,-0.5833189606575219
Ireland,-0.6370511108065449,-0.7584559591983531,-0.5368268387678924,-0.39239119954960033,-0.4126787737348645
Greece,-0.6593681879367105,-0.13565040276719953,-0.43246773181462406,0.5861774447078575,0.08611561880828743
Spain,0.8079796333716768,1.0447144137070818,2.5107319185340886,1.2157232725134888,0.6111623478010791
France,3.089900769931108,1.4361921920352356,3.0538020300369353,1.3625085691521075,2.090043967797442
Croatia,-0.6607630052573458,-0.7881133666474556,-0.5755108401315223,-0.775663918550438,-0.5658174030244288
Italy,1.2752434357845188,2.2250792301813633,1.4075070735995372,3.081527487564375,3.7045626594502763
Cyprus,-9.910773148898137e-17,-1.001646700280994,-0.6214704219363385,-0.7968662391760163,-0.5570666242078822
Latvia,-0.761189852343091,-0.4381559587480455,-0.5957785285033989,-1.158858069366244e-16,0.0
Lithuania,-0.7416624098541961,0.054157004907056785,-0.5646299497395693,-0.7887115004738707,-0.5592543189120189
Luxembourg,-0.7179505154033952,-1.0965504041181222,-0.6122460253055486,-0.8131757165803072,-0.5898820447699318
Hungary,-0.25905561691436535,-0.44408744023786606,-0.5289990937396516,-0.47720048205191334,-0.3973649108059082
Malta,-0.7765328428700798,-1.0609615151791991,-0.6187420792708936,-0.8327470894654564,-0.5898820447699318
Netherlands,0.940487278832035,-0.2542800325636097,-0.14800552867216396,0.9824977456321279,-0.16109388275915196
Austria,-0.1167842502095597,-0.6220318849324813,-0.49418024448540215,-0.5929977716223792,-0.5001865619003298
Poland,-0.14468059662226668,1.1218236730747486,-0.08515620655745051,-0.1771060978129596,-0.24203858681220733
Portugal,-0.47385748429220903,-0.3907041068294815,-0.026074595742637204,-0.7626163366270052,-0.2507893656287538
Romania,-0.6942386209525941,1.127755154564569,-0.49418024448540215,-0.5962596671032374,-0.5614420136161555
